latitude,longitude,value
-36.09324,147.65137,84.62233
-34.54704,147.64764,84.92089
-34.46045,150.88264,84.64797
-34.45629,150.8763,84.51566
-34.41005,147.36995,84.759926
-34.40977,147.3746,85.407326
-33.38303,147.48805,84.824265
-31.4268,146.61978,84.828514
-31.42636,146.62033,85.00091
-31.39689,148.47911,85.04663
-31.39662,148.48271,85.44178
-31.39594,148.47768,85.13664
-31.39565,148.48125,85.976364
-31.39536,148.48485,84.798035
-31.39143,148.48219,85.28079
-31.13071,147.69125,84.74728
-31.13044,147.69527,84.82233
-31.12862,147.69406,84.90855
-31.0141,150.70384,84.828636
-31.01361,150.70915,84.82124
-31.00957,150.70331,85.09767
-30.94921,147.73763,85.44077
-30.90963,151.19554,84.70545
-30.84835,147.04347,85.03494
-30.84804,147.04778,84.7794
-30.84243,147.04733,84.781166
-30.84212,147.05165,84.85455
-30.6471,152.81024,84.96571
-30.64311,152.80969,84.965164
-29.99991,147.86113,84.80375
-29.71329,151.88344,84.90579
-29.67813,151.39668,84.82413
-29.63519,148.13333,84.698364
-29.63409,148.13365,84.79765
-28.58409,152.5477,84.98654
-28.5716,152.55194,84.96797
-36.44077,145.9438,84.66632
-36.43979,145.94763,84.46369
-36.30354,145.16507,84.83895
-36.29862,145.16319,85.04297
-36.0978,147.65358,84.49913
-36.09667,147.6577,84.51335
-36.0921,147.65175,84.53505
-35.23436,143.95279,84.727905
-35.23221,143.95059,84.75404
-33.75815,149.09633,84.72142
-33.75176,149.09407,84.75667
-32.7992,149.91528,85.09578
-32.79904,149.91293,84.747475
-32.79702,149.92259,84.8035
-32.79685,149.9201,85.87832
-32.10348,148.55437,84.853714
-32.10227,148.54962,84.842995
-31.01995,149.66333,84.749115
-30.85068,147.04524,84.83195
-30.84638,147.04594,84.83027
-30.8448,147.05165,84.82814
-30.84299,147.04869,85.16491
-32.7992,149.91731,81.79381
-32.798,149.912,81.43287
-32.79477,149.9187,83.38129
-32.79357,149.91336,83.790054
-32.70359,148.63562,83.22445
-32.70131,148.63908,83.15114
-32.69992,148.63306,81.736176
-32.54951,147.71007,82.24426
-32.54866,147.70654,84.79381
-32.46224,148.09081,80.067116
-32.46146,148.09077,80.85331
-32.45732,148.09245,80.706795
-32.3728,147.08221,84.826416
-32.37183,147.07832,81.00774
-32.36758,147.08394,83.212425
-32.36661,147.08005,80.07501
-31.63725,147.24493,82.97643
-31.12783,147.6913,82.167595
-30.84184,147.04869,83.15114
-30.80195,147.05304,81.104225
-30.48019,152.33588,81.5149
-29.81741,151.45416,82.51192
-29.23677,151.18752,81.884735
-37.26503,143.34843,81.010506
-36.31047,145.77458,79.154854
-36.30109,145.15997,81.99112
-36.22142,146.22957,79.9144
-36.19515,148.60432,81.61528
-36.19183,148.61052,83.15114
-36.15718,148.50153,81.29341
-36.15149,148.49756,80.320786
-35.82323,145.36002,79.598076
-35.23289,143.95039,80.08384
-34.94441,148.95596,81.577
-34.7708,145.90237,82.253265
-34.53967,147.63855,82.23443
-34.46832,150.89183,83.15114
-34.46237,150.88426,84.54348
-34.46143,150.87984,83.424164
-34.4583,150.88548,84.55791
-34.45736,150.88107,83.0141
-34.45641,150.87665,84.56978
-33.76577,150.84985,82.67865
-31.39876,148.47978,80.0486
-31.39684,148.48355,79.73601
-31.39175,148.48026,81.345406
-31.12604,147.692,83.15114
-36.29956,145.16096,79.41746
-36.29942,145.15993,79.2387
-36.19197,148.61269,80.141495
-36.16185,148.50146,83.24689
-36.16005,148.50557,80.67719
-36.1599,148.49643,80.01476
-35.82277,145.36205,79.66958
-34.12608,146.00945,82.55371
-32.54693,147.70973,80.64685
